guid,id,name,Platform,Rating,Score,Action,Shooter,Adventure,Platformer,Shoot 'Em Up,Fighting,Driving/Racing,First-Person Shooter,Action-Adventure,Puzzle,Brawler,Strategy,Wrestling,Role-Playing,Light-Gun Shooter,Sports,Compilation,Boxing,Music/Rhythm,Baseball,Simulation,Vehicular Combat,Card Game,Golf,Football,Dual-Joystick Shooter,Soccer,Trivia/Board Game,Flight Simulator,Tennis,Hockey,Pinball,MMORPG,Real-Time Strategy,Block-Breaking,Basketball,Bowling,Minigame Collection,MOBA,Educational,Snowboarding/Skiing,Text Adventure,Fishing,Skateboarding,Gambling,Billiards,Track & Field,Fitness,Cricket
3030-18,18,Metal Slug X: Super Vehicle - 001,Switch,T,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-82,82,Saboteur,Switch,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-86,86,Balloon Fight,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-185,185,Bomb Jack,Switch,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-307,307,Atomic Robo-Kid,Switch,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-311,311,Donkey Kong,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-379,379,Waku Waku 7,Switch,E10+,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-397,397,James Pond 2: Codename: RoboCod,Switch,E,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-400,400,Riding Hero,Switch,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-621,621,Doom II: Hell on Earth,Switch,T,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
