guid,id,name,Platform,Rating,Action,Shooter,First-Person Shooter,Fighting,Action-Adventure,Platformer,Puzzle,Wrestling,Strategy,Role-Playing,Adventure,Music/Rhythm,Baseball,Brawler,Driving/Racing,Shoot 'Em Up,Simulation,Vehicular Combat,Card Game,Trivia/Board Game,Dual-Joystick Shooter,Golf,Flight Simulator,Real-Time Strategy,MMORPG,Soccer,Sports,Block-Breaking,Basketball,Compilation,Pinball,MOBA,Minigame Collection
3030-18,18,Metal Slug X: Super Vehicle - 001,XBoxOne,T,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-621,621,Doom II: Hell on Earth,XBoxOne,T,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-840,840,Metal Slug 2: Super Vehicle - 001/II,XBoxOne,T,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-939,939,Real Bout Fatal Fury,XBoxOne,T,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1063,1063,Metal Slug 3,XBoxOne,T,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-1578,1578,Resident Evil 4,XBoxOne,M,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2119,2119,Magician Lord,XBoxOne,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2133,2133,Call of Duty 4: Modern Warfare,XBoxOne,M,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2285,2285,Bust-A-Move 2: Arcade Edition,XBoxOne,E,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2325,2325,3 Count Bout,XBoxOne,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
3030-2347,2347,Call of Duty 2,XBoxOne,M,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
